State,Bill,Summary,Kids vs. Adults vs. Everyone,General Chatbots vs. Companion Chatbots
Alabama,AL HB234,"This bill requires depoyers to establish age verification practices to ban human-like AI chatbot access for minors. Deployers must create an alternative chatbot without human-like features/interaction for minors, if feasible given the purpose of the chatbot. Deployers must also provide measures for chatbots to recognize and mitigate emergency situations where a user expresses an intent to harm. Additionally, the bill limits the type and amount of data stored/collected and allows theraeputic chatbots meeting certain requirements to be prescribed by a licensed psychiatrist for use by minors. Regarding enforcement, this bill creates a private right of action for consumers harmed by noncompliant commercial practices, and authorizes the Attorney General to enforce the law.",Minors,General Chatbots
,AL HB235,"This bill classifies the undisclosed (not clearly disclosing that the consumer is interacting with a computer, not a human) use of AI chatbots in commercial transactions as an unfair or deceptive trade practice. It creates a private right of action allowing consumers harmed by violations to sue for relief, and authorizes the Attorney General to bring suit to enforce the bill.",Everyone,General Chatbots
Alaska,No Relevant Bills,,,
Arizona,HB 2737,"This bill restricts how chatbot providers collect, use, retain, and sell personal data and chat logs. It requires affirmative consent, especially for AI training and any use involving minors (with parental consent required for minors), and prohibits targeted advertising based on chat logs, excessive profiling, sale of chat logs, and retaliation against users who refuse consent. Providers must give users access to their chat histories, implement written data security programs, prevent re-identification of de-identified data, and clearly disclose that users are interacting with a chatbot. The bill also restricts misleading professional endorsements, requires monthly risk assessments, treats chatbots as products subject to product liability, and creates both Attorney General enforcement authority and a private right of action with civil penalties.",Everyone,General Chatbots
Arkansas,No Relevant Bills,,,
California,SB 243,"This bill updates existing social media and public health-related law by adding safety requirements for “companion chatbot” platforms. If a reasonable person could mistake the chatbot for a human, operators must clearly and conspicuously disclose that the chatbot is AI-generated. For users known to be minors, operators must also explicitly disclose that they are interacting with AI. Operators are required to implement and maintain safety protocols to prevent chatbots from producing or engaging in content related to suicidal ideation, suicide, or self-harm, and must publish details of those protocols on their websites. Beginning in 2027, operators must also submit annual reports to the Office of Suicide Prevention on their safety protocols and responses, which will be publicly posted. The bill allows individuals harmed by noncompliance to bring a private civil action.",Everyone,Companion Chatbots
,AB 1988,"This bill establishes a California framework for regulating companion chatbots by requiring operators to implement and publish safety protocols for detecting and responding to credible crisis expressions related to suicide or self-harm. If a user makes such an expression, the chatbot must issue a warning, encourage human support, and after repeated signals within a short time period initiate a crisis interruption pause that stops chatbot responses until reviewed by a human moderator. Operators must document crisis events and response actions and beginning in 2028 report this data annually to the Office of Suicide Prevention, which will publish it publicly. The bill also requires operators to define and publicly disclose how their systems detect and handle crisis situations and prohibits describing interventions as punitive or making risk diagnoses.",Everyone,Companion Chatbots
,SB 300,"This bill regulates companion chatbots by requiring operators to clearly disclose when users are interacting with AI instead of a human, and by mandating ongoing disclosure during interactions where deception is likely. It requires chatbot operators to maintain and publicly publish safety protocols to detect and respond to suicidal ideation, suicide, or self-harm, including referral to crisis services. The bill also imposes stronger protections for minors, requiring additional disclosures and restricting harmful or sexually explicit content and manipulative engagement. In some versions, it also allows for civil liability through a private right of action for users harmed by noncompliance.",Minors,Companion Chatbots
Colorado,HB 26-1263,"Operators must clearly and conspicuously disclose when users are interacting with an AI system rather than a human, including repeated disclosures during interactions where deception is likely. They must implement protocols to detect and respond to suicidal ideation or self-harm, including referral to crisis services, and publish these safety protocols on their websites. For minors, operators must provide additional disclosures, age-appropriate safeguards, and restrictions on harmful or sexualized content and manipulative engagement features. The bill also requires annual reporting on crisis intervention protocols to the Attorney General and restricts misleading or unqualified mental health representations by AI systems. Enforcement is handled as an unfair trade practice with no private right of action.",Everyone,General Chatbots
Connecticut,SB 5,"This bill is a broad AI governance law that regulates artificial intelligence across areas such as employment, consumer protection, workforce development, healthcare, and government oversight. It also establishes specific safeguards for AI companion chatbots. AI companion operators must disclose that users are interacting with AI rather than a human, implement systems to detect and respond to expressions of suicide, self-harm, or imminent violence, and provide users with crisis resources when necessary. The bill prohibits AI companions used by minors from encouraging self-harm, violence, disordered eating, substance abuse, or romantic and sexually explicit interactions; discouraging users from seeking help from adults or mental health professionals; and using manipulative techniques designed to foster emotional dependency or prolong engagement. Enforcement authority is granted to the Attorney General.",Everyone,Companion Chatbots
,SB 86,"This bill creates a statewide AI and data governance framework by establishing a Chief Data Officer, expanding open data systems, and creating an AI regulatory sandbox to encourage innovation. It requires state agencies to identify and publish datasets that may be used for AI and machine learning development. For companion chatbots, operators must clearly disclose that users are interacting with AI, implement systems to detect and respond to suicidal ideation or self-harm by referring users to crisis services, and provide additional safeguards for minors, including repeated AI disclosure, usage reminders, and limits on sexually explicit or harmful content. Violations are enforced as unfair trade practices by the Attorney General with no private right of action.",Everyone,Companion Chatbots
Delaware,No Relevant Bills,,,
